0	0.0	0	0.0	0.0
0.01	3.3416833611354946e-07	3.3416875e-07	4.1388645054127454e-13	0.0
0.02	2.680053511561198e-06	2.8483799654341135e-06	1.683264538729156e-07	1.0108834900007811e-06	2
0.03	9.06790703369964e-06	9.407082143520879e-06	3.3917510982123856e-07	1.0193462327431576e-06	1
0.04	2.154838477652632e-05	2.206181858244291e-05	5.134338059165902e-07	1.029588086740956e-06	1
0.05	4.2192752048197946e-05	4.288391295175635e-05	6.911609035584052e-07	1.0399357275069074e-06	1
0.060000000000000005	7.309309071912296e-05	7.396549924924253e-05	8.724085301195787e-07	1.0503873416915159e-06	1
0.07	0.00011636250843327645	0.00011741973793028348	1.0572294970070375e-06	1.0609439970561902e-06	1
0.08	0.00017413534991739255	0.0001753810272411885	1.24567732379596e-06	1.0716067494460457e-06	1
0.09	0.0002485674104208968	0.00025000521666420934	1.4378062433125297e-06	1.0823766651629958e-06	1
0.09999999999999999	0.0003418361512954604	0.00034346982250782303	1.6336712123626168e-06	1.0932548212251808e-06	1
0.10999999999999999	0.0004561409177425979	0.000457974245663752	1.8333279211541192e-06	1.1042423054751448e-06	1
0.11999999999999998	0.0005937031587515129	0.0005957399915524967	2.0368328009837382e-06	1.1153402166885805e-06	1
0.12999999999999998	0.0007567666492436231	0.0007590108922793748	2.244243035751667e-06	1.126549664684051e-06	1
0.13999999999999999	0.0009475977144548509	0.0009500533310232861	2.4556165684352536e-06	1.1378717704339575e-06	1
0.15	0.0011684854565663372	0.0011711564686806386	2.6710121143014125e-06	1.1493076661770255e-06	1
0.16	0.0014217419836204392	0.0014246324727871036	2.89048916666439e-06	1.1608584955310076e-06	1
0.17	0.0017097026407308924	0.001712816748740092	3.114108009199699e-06	1.1725254136078257e-06	1
0.18000000000000002	0.002034726243620444	0.0020380681733450736	3.34192972462977e-06	1.1843095871276292e-06	1
0.19000000000000003	0.0023991953145028333	0.0024027693307090954	3.5740162062621386e-06	1.196212194537298e-06	1
0.20000000000000004	0.0028055163203397626	0.00280932675050509	3.8104301653273283e-06	1.2082344261264526e-06	1
0.21000000000000005	0.0032561199134866214	0.0032601711486307965	4.051235144175106e-06	1.2203774841495346e-06	1
0.22000000000000006	0.0037534611747620517	0.003757757670286368	4.296495524316445e-06	1.2326425829398656e-06	1
0.23000000000000007	0.004300019858955562	0.004304566135494968	4.546276539406195e-06	1.2450309490397507e-06	1
0.24000000000000007	0.004898300642809161	0.004903101287090908	4.8006442817469935e-06	1.2575438213162718e-06	1
0.25000000000000006	0.005550833375483233	0.005555893041200133	5.059665716899975e-06	1.270182451086621e-06	1
0.26000000000000006	0.006260173331543495	0.006265496740238089	5.323408694594446e-06	1.282948102246037e-06	1
0.2700000000000001	0.007028901466494819	0.007034493408450299	5.591941955479865e-06	1.295842051390536e-06	1
0.2800000000000001	0.007859624674873888	0.007865490010021165	5.8653351472769816e-06	1.3088655879487515e-06	1
0.2900000000000001	0.008754976050944219	0.008761119709776844	6.1436588326257285e-06	1.3220200143024968e-06	1
0.3000000000000001	0.009717615152005976	0.009724042136508246	6.426984502269986e-06	1.3353066459307478e-06	1
0.3100000000000001	0.010750228264355677	0.010756943648940495	6.715384584818004e-06	1.3487268115276035e-06	1
0.3200000000000001	0.011855528671913973	0.011862537604375452	7.008932461478878e-06	1.362281853144534e-06	1
0.3300000000000001	0.013036256927560608	0.013043564630034156	7.307702473547881e-06	1.375973126317015e-06	1
0.34000000000000014	0.01429518112718764	0.014302792897126333	7.61176993869378e-06	1.389802000210244e-06	1
0.35000000000000014	0.015635097186514457	0.015643018397674367	7.921211159910013e-06	1.4037698577405722e-06	1
0.36000000000000015	0.01705882912068102	0.017067065224119424	8.236103438405418e-06	1.4178780957316284e-06	1
0.37000000000000016	0.01856922932664906	0.018577785851737676	8.556525088614791e-06	1.432128125037485e-06	1
0.38000000000000017	0.020169178868449045	0.0201780614238949	8.882555445854229e-06	1.4465213707057223e-06	1
0.3900000000000002	0.02186158776528524	0.02187080204016794	9.21427488270038e-06	1.461059272091919e-06	1
0.4000000000000002	0.02364939528254073	0.023658947047361864	9.551764821133513e-06	1.475743283015779e-06	1
0.4100000000000002	0.025535570225707183	0.025545465333451926	9.895107744743031e-06	1.490574871924194e-06	1
0.4200000000000002	0.027523111237267806	0.0275333556244797	1.0244387211894024e-05	1.505555522005736e-06	1
0.4300000000000002	0.02961504709656282	0.02962564678443312	1.059968787030241e-05	1.5206867313675987e-06	1
0.4400000000000002	0.03181443702267206	0.03182539811814036	1.0961095468303705e-05	1.5359700131639675e-06	1
0.45000000000000023	0.03412437098033738	0.03413569967720791	1.1328696870531452e-05	1.5514068957625526e-06	1
0.46000000000000024	0.036547969988963924	0.036559672569033363	1.170258006943925e-05	1.5669989229041836e-06	1
0.47000000000000025	0.03908838643472068	0.03910046926892387	1.208283420318923e-05	1.582747653799954e-06	1
0.48000000000000026	0.041748804385786986	0.041761273935351506	1.2469549564519955e-05	1.5986546633844911e-06	1
0.49000000000000027	0.04453243991075784	0.04454530272837698	1.2862817619141431e-05	1.6147215423922834e-06	1
0.5000000000000002	0.04744254140025639	0.04745580413127359	1.3262731017205098e-05	1.630949897545031e-06	1
0.5100000000000002	0.05048238989177278	0.05049605927538362	1.3669383610838415e-05	1.6473413517251179e-06	1
0.5200000000000002	0.05365529939777325	0.05366938226823956	1.4082870466308739e-05	1.6638975441213288e-06	1
0.5300000000000002	0.05696461723710122	0.05697912052498307	1.4503287881849347e-05	1.6806201303884438e-06	1
0.5400000000000003	0.06041372436971715	0.06042865510311481	1.4930733397665319e-05	1.6975107828276492e-06	1
0.5500000000000003	0.06400603573479069	0.06402140104060851	1.536530581781881e-05	1.7145711905391936e-06	1
0.5600000000000003	0.06774500059220223	0.06776080769742326	1.5807105221032902e-05	1.7318030596374934e-06	1
0.5700000000000003	0.07163410286747052	0.07165035910044802	1.625623297750456e-05	1.749208113299705e-06	1
0.5800000000000003	0.07567686150014685	0.07569357429191292	1.6712791766071433e-05	1.7667880921196089e-06	1
0.5900000000000003	0.0798768307957145	0.07989400768130224	1.717688558773578e-05	1.7845447541076087e-06	1
0.6000000000000003	0.08423760078101816	0.08425524940080409	1.7648619785926023e-05	1.8024798749960436e-06	1
0.6100000000000003	0.08876279756327499	0.08878092566433256	1.8128101057571233e-05	1.820595248336332e-06	1
0.6200000000000003	0.09345608369268454	0.09347469913015807	1.8615437473529228e-05	1.8388926856932608e-06	1
0.6300000000000003	0.0983211585286865	0.09834026926718231	1.911073849580891e-05	1.8573740168809083e-06	1
0.6400000000000003	0.10336175860990249	0.10338137272489419	1.961411499169785e-05	1.8760410900736657e-06	1
0.6500000000000004	0.1085816580277923	0.10860178370704407	2.0125679251775663e-05	1.8948957720005266e-06	1
0.6600000000000004	0.1139846688040631	0.11400531434907356	2.0645545010453126e-05	1.913939948208765e-06	1
0.6700000000000004	0.11957464127187922	0.11959581509933839	2.1173827459169958e-05	1.9331755231472014e-06	1
0.6800000000000004	0.1253554644608954	0.1253771751041628	2.1710643267391916e-05	1.9526044204021265e-06	1
0.6900000000000004	0.13133106648616488	0.13135332259676388	2.2256110599000456e-05	1.9722285829748554e-06	1
0.7000000000000004	0.13750541494095359	0.1375282252900845	2.281034913090285e-05	1.992049973253973e-06	1
0.7100000000000004	0.14388251729350143	0.14390589077357444	2.337348007300233e-05	2.0120705734594235e-06	1
0.7200000000000004	0.15046642128777554	0.15049036691395937	2.3945626183824453e-05	2.032292385711898e-06	1
0.7300000000000004	0.157261215348246	0.1572857422600374	2.4526911791389328e-05	2.052717432199369e-06	1
